Step,Temp,E_pair,E_mol,TotEng,Press
18650,0.45318436,-2.3401422,0.059291149,-1.8280443,0.61759011
18700,0.43484836,-2.3270674,0.069144696,-1.8234368,0.65405038
18750,0.43873883,-2.3198259,0.059913251,-1.8215394,0.85235698
18800,0.45,-2.3042681,0.062086119,-1.792557,0.80210855
18850,0.4635628,-2.3173104,0.058826892,-1.795307,0.83361063
18900,0.46559384,-2.3087203,0.058736165,-1.7847783,0.76740625
18950,0.45178948,-2.3046894,0.055037714,-1.7982387,0.86370836
19000,0.45377631,-2.3005142,0.063339138,-1.7837769,0.77979573
19050,0.46047678,-2.3262391,0.069803385,-1.7963426,0.69952904
19100,0.46141972,-2.3324694,0.068033,-1.8034012,0.71007673
19150,0.45753174,-2.3146041,0.064192271,-1.7932614,0.71555144
19200,0.43965352,-2.2983661,0.068184399,-1.7908946,0.8437514
19250,0.44100477,-2.2994275,0.064500448,-1.7942898,0.81965434
19300,0.46777732,-2.3230707,0.065674939,-1.7900083,0.66211079
19350,0.44298687,-2.3017256,0.06067453,-1.7984334,0.92410844
19400,0.46178125,-2.3225255,0.060598075,-1.800531,0.69488323
19450,0.47052099,-2.3210141,0.061910852,-1.7889744,0.57583407
19500,0.45803598,-2.3111945,0.056552741,-1.7969875,0.73831232
19550,0.46785223,-2.3280699,0.062590092,-1.7980174,0.74102102
19600,0.45953178,-2.3220292,0.056376072,-1.8065043,0.8000208
19650,0.46337385,-2.3106221,0.059745137,-1.7878893,0.86507797
19700,0.4535761,-2.3109167,0.065971094,-1.7917475,0.80864853
19750,0.44533239,-2.3172105,0.073537613,-1.7987116,0.76150007
19800,0.44821081,-2.3269882,0.068535856,-1.810615,0.74678978
19850,0.47767552,-2.3412937,0.068534091,-1.7954821,0.58705842
19900,0.46837107,-2.319141,0.060463165,-1.7906971,0.6202773
19950,0.46718727,-2.3275975,0.070062057,-1.7907375,0.62455821
20000,0.45525597,-2.3149336,0.06798569,-1.7920713,0.64410367
